title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe
Push,"15 Jun 2026, 17:41","15 Jun 2026, 18:32",,Crunch (Machine),,,1,normal,95,15,,,
Push,"15 Jun 2026, 17:41","15 Jun 2026, 18:32",,Crunch (Machine),,,2,normal,95,15,,,
Push,"15 Jun 2026, 17:41","15 Jun 2026, 18:32",,Treadmill,,,0,normal,0,,1.41,600,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Leg Press (Machine),,,0,warmup,60,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Leg Press (Machine),,,1,warmup,90,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Leg Press (Machine),,,2,normal,160,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Leg Press (Machine),,,3,normal,160,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Leg Press (Machine),,,4,normal,160,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Back Extension (Weighted Hyperextension),,,0,warmup,10,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Back Extension (Weighted Hyperextension),,,1,warmup,10,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Back Extension (Weighted Hyperextension),,,2,normal,20,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Back Extension (Weighted Hyperextension),,,3,normal,20,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Back Extension (Weighted Hyperextension),,,4,normal,20,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Seated Leg Curl (Machine),,,0,normal,60,15,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Seated Leg Curl (Machine),,,1,normal,60,15,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Seated Leg Curl (Machine),,,2,normal,60,15,,,
"Day 5 - Shoulders, Traps and Forearms","29 Dec 2023, 17:00","29 Dec 2023, 17:56",,Arnold Press (Dumbbell),,,1,normal,24,12,,,
"Day 5 - Shoulders, Traps and Forearms","29 Dec 2023, 17:00","29 Dec 2023, 17:56",,Arnold Press (Dumbbell),,,2,normal,24,11,,,
"Day 5 - Shoulders, Traps and Forearms","15 Dec 2023, 16:22","15 Dec 2023, 17:21",,Arnold Press (Dumbbell),,,0,normal,20,12,,,
Lower,"12 Jun 2026, 17:53","12 Jun 2026, 18:56",,Treadmill,,,0,normal,0,,1,600,
"Day 5 - Shoulders, Traps and Forearms","15 Dec 2023, 16:22","15 Dec 2023, 17:21",,Arnold Press (Dumbbell),,,1,normal,20,12,,,
"Day 5 - Shoulders, Traps and Forearms","15 Dec 2023, 16:22","15 Dec 2023, 17:21",,Arnold Press (Dumbbell),,,2,normal,20,12,,,
Full Body 3,"10 Jul 2023, 17:38","10 Jul 2023, 18:24",,Arnold Press (Dumbbell),,,0,normal,28,10,,,
Full Body 3,"10 Jul 2023, 17:38","10 Jul 2023, 18:24",,Arnold Press (Dumbbell),,,1,normal,28,10,,,
Full Body 3,"10 Jul 2023, 17:38","10 Jul 2023, 18:24",,Arnold Press (Dumbbell),,,2,normal,28,7,,,
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Lat Pulldown (Machine),,,0,warmup,40,12,,,
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Lat Pulldown (Machine),,,1,normal,100,12,,,
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Lat Pulldown (Machine),,,2,normal,100,12,,,
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Lat Pulldown (Machine),,,3,normal,100,12,,,
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Iso-Lateral Chest Press (Machine),,,0,normal,80,12,,,
Upper,"11 Jun 2026, 17:27","11 Jun 2026, 18:14",,Iso-Lateral Chest Press (Machine),,,1,normal,80,12,,,
