Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2025-06-23 19:55:00;Day 4 - Quads, Hamstrings and Calves;Lying Leg Curl (Machine);1;80.0;kg;10.0;;;;0;;;30m
2025-06-23 19:55:00;Day 4 - Quads, Hamstrings and Calves;Lying Leg Curl (Machine);2;80.0;kg;10.0;;;;0;;;30m
2025-06-23 19:55:00;Day 4 - Quads, Hamstrings and Calves;Lying Leg Curl (Machine);3;80.0;kg;10.0;;;;0;;;30m
2022-09-10 16:47:00;Hombros y core;Front Raise (Dumbbell);1;10.0;kg;10.0;;;;0;;;53m
2022-09-10 16:47:00;Hombros y core;Front Raise (Dumbbell);2;10.0;kg;10.0;;;;0;;;53m
2022-09-10 16:47:00;Hombros y core;Front Raise (Dumbbell);3;10.0;kg;10.0;;;;0;;;53m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Overhead Press (Barbell);1;20.0;kg;12.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Overhead Press (Barbell);2;20.0;kg;12.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Overhead Press (Barbell);3;20.0;kg;12.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Overhead Press (Barbell);4;20.0;kg;12.0;;;;0;;;38m
2026-01-09 11:07:00;Back;Hammer Curl (Dumbbell);1;20.0;kg;10.0;;;;0;;;43m
2026-01-09 11:07:00;Back;Hammer Curl (Dumbbell);2;20.0;kg;10.0;;;;0;;;43m
2025-12-15 16:18:00;Chest/biceps;Hammer Curl (Dumbbell);1;20.0;kg;10.0;;;;0;;;52m
2025-12-15 16:18:00;Chest/biceps;Hammer Curl (Dumbbell);2;20.0;kg;10.0;;;;0;;;52m
2025-12-15 16:18:00;Chest/biceps;Hammer Curl (Dumbbell);3;20.0;kg;10.0;;;;0;;;52m
2025-10-17 18:26:00;Full Body 2;Hammer Curl (Dumbbell);1;16.0;kg;10.0;;;;0;;;31m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Overhead Shoulder Press Machine;1;60.0;kg;5.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Overhead Shoulder Press Machine;2;60.0;kg;5.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Overhead Shoulder Press Machine;3;60.0;kg;4.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Upright Row (Barbell);1;50.0;kg;12.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Upright Row (Barbell);2;50.0;kg;10.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Upright Row (Barbell);3;50.0;kg;10.0;;;;0;;;38m
2025-10-17 18:26:00;Full Body 2;Hammer Curl (Dumbbell);2;16.0;kg;10.0;;;;0;;;31m
2025-10-17 18:26:00;Full Body 2;Hammer Curl (Dumbbell);3;16.0;kg;10.0;;;;0;;;31m
2025-09-12 16:27:00;Full Body 2;Hammer Curl (Dumbbell);1;32.0;kg;10.0;;;;0;;;47m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Behind the Back Bicep Wrist Curl (Barbell);1;40.0;kg;15.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Behind the Back Bicep Wrist Curl (Barbell);2;40.0;kg;15.0;;;;0;;;38m
2025-06-23 19:16:00;Day 5 - Shoulders, Traps and Forearms;Behind the Back Bicep Wrist Curl (Barbell);3;40.0;kg;15.0;;;;0;;;38m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Dead Hang;1;0.0;kg;;;;;25;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Dead Hang;2;0.0;kg;;;;;15;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Dead Hang;3;0.0;kg;;;;;15;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Bent Over Row (Barbell);1;100.0;kg;12.0;;;;0;;;1h 0m
2025-06-20 10:40:00;Day 1 - Back & Biceps;Bent Over Row (Barbell);2;110.0;kg;8.0;;;;0;;;1h 0m
